UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode,Breed_v4,DogSize_v4,DogType_v4,ZipCode_v4,GeoPoint_v4
"213,May 07 2018,DOG,YORKSHIRE TERRIER,1,F,FALSE,Brooklyn,""11207"",YORKSHIRE TERRIER,small,terrier,11207,""40.67073, -73.89429"""
"216,May 08 2018,DOG,ROTTWEILER,1,M,TRUE,Brooklyn,""11236"",ROTTWEILER,very large,working dog,11236,""40.63958, -73.90107"""
"217,May 01 2018,DOG,German Shepherd Crossbreed,15,M,TRUE,Brooklyn,""11238"",GERMAN SHEPHERD MIX,large,working dog,11238,""40.67913, -73.96384"""
"221,May 09 2018,DOG,AUSTRALIAN CATTLE DOG,6,F,TRUE,Brooklyn,""11226"",AUSTRALIAN CATTLE DOG,medium,herding dog,11226,""40.64639, -73.9568"""
"222,May 10 2018,DOG,Yorkshire Terrier Crossbreed,7,F,FALSE,Brooklyn,""11205"",YORKSHIRE TERRIER MIX,small,terrier,11205,""40.69468, -73.96613"""
"225,May 14 2018,DOG,Beagle Crossbreed,4,M,TRUE,Brooklyn,""11225"",BEAGLE MIX,medium,hunting,11225,""40.66304, -73.95431"""
"226,May 12 2018,DOG,""Bull Dog, French"",2,M,TRUE,Brooklyn,""11235"",BULLDOG French,small,companion,11235,""40.58402, -73.9488"""
"227,May 15 2018,DOG,MIXED BREED,8,M,FALSE,Brooklyn,""11208"",MIXED BREED,unknown,unknown,11208,""40.66855, -73.87103"""
"232,April 17 2018,DOG,ITALIAN MASTIFF,1,F,FALSE,Brooklyn,""11236"",ITALIAN MASTIFF,large,guardian,11236,""40.63958, -73.90107"""
"233,May 17 2018,DOG,Labrador Retriever Crossbreed,3,M,TRUE,Brooklyn,""11201"",Labrador Retriever MIX,medium-large,hunting,11201,""40.69463, -73.98972"""
"235,May 20 2018,DOG,MIXED BREED,1,M,FALSE,Brooklyn,""11236"",MIXED BREED,unknown,unknown,11236,""40.63958, -73.90107"""
"238,May 20 2018,DOG,American Pit Bull Terrier/Pit Bull,4,F,FALSE,Brooklyn,""11221"",American Pit Bull Terrier Mix,medium,terrier,11221,""40.69136, -73.92787"""
"243,May 23 2018,DOG,Cocker Spaniel,6,F,FALSE,Brooklyn,""11224"",COCKER SPANIEL,small-medium,hunting,11224,""40.57665, -73.98873"""
"245,May 24 2018,DOG,CHOW CHOW,4,F,TRUE,Brooklyn,""11217"",CHOW CHOW,large,guardian,11217,""40.68259, -73.97928"""
"246,May 24 2018,DOG,CHOW CHOW,4,F,TRUE,Brooklyn,""11217"",CHOW CHOW,large,guardian,11217,""40.68259, -73.97928"""
"247,May 28 2018,DOG,MIXED,6,F,FALSE,Brooklyn,""11216"",MIXED BREED,unknown,unknown,11216,""40.68075, -73.94937"""
"250,May 26 2018,DOG,AMERICAN BULLY,1,M,FALSE,Brooklyn,""11208"",AMERICAN BULLY,medium-large,companion,11208,""40.66855, -73.87103"""
"253,May 24 2018,DOG,MIXED BREED,1,M,FALSE,Brooklyn,""11216"",MIXED BREED,unknown,unknown,11216,""40.68075, -73.94937"""
"254,May 27 2018,DOG,GOLDEN RETRIEVER,8,F,FALSE,Brooklyn,,GOLDEN RETRIEVER,medium-large,hunting,NULL,""NULL"""
"256,May 24 2018,DOG,American Pit Bull Terrier/Pit Bull,5,M,TRUE,Brooklyn,""11212"",American Pit Bull Terrier Mix,medium,terrier,11212,""40.66293, -73.91303"""
"257,June 01 2018,DOG,American Pit Bull Mix / Pit Bull Mix,3,F,FALSE,Brooklyn,""11223"",American Pit Bull Terrier Mix,medium,terrier,11223,""40.59715, -73.97359"""
"260,June 02 2018,DOG,PITBULL,3,M,FALSE,Brooklyn,""11233"",PIT BULL,medium,terrier,11233,""40.6783, -73.91995"""
"262,June 01 2018,DOG,SHICHON,4,M,FALSE,Brooklyn,""11217"",SHICHON,small,companion,11217,""40.68259, -73.97928"""
"263,June 01 2018,DOG,HOUND,2,M,TRUE,Brooklyn,,HOUND,medium,hunting,NULL,""NULL"""
"265,June 02 2018,DOG,DACHSHUND SMOOTH COAT,11,M,TRUE,Brooklyn,""11236"",DACHSHUND LH,small,hunting,11236,""40.63958, -73.90107"""
"266,June 04 2018,DOG,MIXED,8,F,FALSE,Brooklyn,""11208"",MIXED BREED,unknown,unknown,11208,""40.66855, -73.87103"""
"270,May 26 2018,DOG,""Bull Dog, English"",6,M,TRUE,Brooklyn,""11220"",BULLDOG English,medium,companion,11220,""40.64115, -74.01651"""
"272,May 30 2018,DOG,MEDIUM MIXED BREED,5,F,FALSE,Brooklyn,""11208"",MIXED BREED medium,medium,unknown,11208,""40.66855, -73.87103"""
"273,June 08 2018,DOG,MEDIUM MIXED BREED,3,M,FALSE,Brooklyn,""11208"",MIXED BREED medium,medium,unknown,11208,""40.66855, -73.87103"""
"275,May 26 2018,DOG,SHIH TZU,2,M,FALSE,Brooklyn,""11204"",SHIH TZU,small,Toy dog,11204,""40.61871, -73.98492"""
"279,June 12 2018,DOG,PITBULL,3,M,FALSE,Brooklyn,""11231"",PIT BULL,medium,terrier,11231,""40.67767, -74.00465"""
"281,June 01 2018,DOG,BORDER COLLIE MIX,6,M,TRUE,Brooklyn,""11217"",BORDER COLLIE MIX,medium,herding dog,11217,""40.68259, -73.97928"""
"284,June 14 2018,DOG,TERRIER/MALTESE MIX,4,F,TRUE,Brooklyn,""11205"",TERRIER MIX,medium,terrier,11205,""40.69468, -73.96613"""
"288,May 23 2018,DOG,GERMAN SHEPHERD,4,M,FALSE,Brooklyn,""11234"",GERMAN SHEPHERD,large,working dog,11234,""40.60602, -73.91071"""
"289,May 30 2018,DOG,SHIH-POO,2,F,FALSE,Brooklyn,""11203"",SHIH-POO MIX,small,Toy dog,11203,""40.64955, -73.93444"""
"293,June 09 2018,DOG,Mixed/Other,5,F,FALSE,Brooklyn,""11238"",MIXED BREED,unknown,unknown,11238,""40.67913, -73.96384"""
"296,June 02 2018,DOG,MALTESE,6,F,FALSE,Brooklyn,""11224"",MALTESE,small,Toy dog,11224,""40.57665, -73.98873"""
"307,June 20 2018,DOG,MIXED,2,M,FALSE,Brooklyn,""11212"",MIXED BREED,unknown,unknown,11212,""40.66293, -73.91303"""
"308,June 20 2018,DOG,MIXED,2,F,FALSE,Brooklyn,,MIXED BREED,unknown,unknown,NULL,""NULL"""
"313,June 16 2018,DOG,AUSTRALIAN SHEPARD - POODLE MIX,4,M,FALSE,Brooklyn,,AUSTRALIAN SHEPHERD (AUSSIE) MIX,medium,herding dog,NULL,""NULL"""
"316,June 24 2018,DOG,MALTESE,9,F,TRUE,Brooklyn,""11212"",MALTESE,small,Toy dog,11212,""40.66293, -73.91303"""
"317,June 18 2018,DOG,UNCERTAIN,4,M,TRUE,Brooklyn,""11215"",UNKNOWN,unknown,unknown,11215,""40.6626, -73.98678"""
"318,May 28 2018,DOG,AUSTRALIAN CATTLE DOG,6,M,TRUE,Brooklyn,""11238"",AUSTRALIAN CATTLE DOG,medium,herding dog,11238,""40.67913, -73.96384"""
"319,June 24 2018,DOG,MIXED,1,M,FALSE,Brooklyn,""11210"",MIXED BREED,unknown,unknown,11210,""40.62821, -73.94627"""
"320,June 23 2018,DOG,MIXED,1,M,FALSE,Brooklyn,""11212"",MIXED BREED,unknown,unknown,11212,""40.66293, -73.91303"""
